,state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,total_pop,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
24,MISSISSIPPI,2000,994926,404964.0,573230.0,8606.0,8126.0,5.3,58640.0,43.0,0.24033102086533822,2848353,0.4070292664982119,0.5761534023635929,0.008649889539523543,0.00816744159867166,0.3492986999855706
25,MISSOURI,2000,2359892,1111138.0,1189924.0,20315.0,38515.0,3.4,77110.0,44.0,0.24902302955167163,5607285,0.47084273348102373,0.5042281595937441,0.008608444793236301,0.016320662131995872,0.4208617896183269
26,MONTANA,2000,410986,137126.0,240178.0,9245.0,24437.0,4.8,56040.0,46.0,0.309052963630421,903773,0.3336512679264014,0.584394602249225,0.0224946835172001,0.05945944630717348,0.45474472018969364
27,NEBRASKA,2000,697019,231780.0,433862.0,6837.0,24540.0,2.8,,44.0,0.28288545937188625,1713820,0.33253039013283714,0.6224536203460738,0.009808914821547188,0.03520707469954191,0.4067049048324795
28,NEVADA,2000,608970,279978.0,301575.0,12409.0,15008.0,4.2,78240.0,42.0,0.2087594984466466,2018741,0.45975663825804225,0.4952214394797773,0.020377030067162585,0.024644892195017816,0.3016583107986611
29,NEW HAMPSHIRE,2000,569081,266348.0,273559.0,6976.0,22198.0,2.7,87070.0,44.0,0.2827635087245604,1239882,0.46803179160787306,0.4807030985044308,0.012258360409150895,0.03900674947854523,0.45897996744851527
30,NEW JERSEY,2000,3187226,1788850.0,1284173.0,19649.0,94554.0,3.7,86180.0,43.0,0.31003649781047427,8430621,0.5612560891508792,0.40291243859079967,0.006164922098401557,0.02966655015991963,0.3780535265432997
31,NEW MEXICO,2000,598605,286783.0,286417.0,4154.0,21251.0,5.0,60000.0,43.0,0.24898552943878724,1821204,0.47908554054844177,0.47847411899332615,0.006939467595492854,0.0355008728627392,0.3286864074535307
32,NEW YORK,2000,6821999,4107697.0,2403374.0,66898.0,244030.0,4.5,69660.0,43.0,0.26147053865379527,19001780,0.602125124908403,0.35229761833738177,0.009806216623602555,0.03577104013061274,0.3590189445409851
33,NORTH CAROLINA,2000,2911262,1257692.0,1631163.0,22407.0,0.0,3.8,65510.0,42.0,0.27948291001872194,8081614,0.4320092111256218,0.5602941267395377,0.007696662134840492,0.0,0.3602327455877007
34,NORTH DAKOTA,2000,288267,95284.0,174852.0,8634.0,9497.0,2.9,61550.0,42.0,0.28967498818481047,642023,0.33054078337097204,0.6065626658618573,0.029951399223636422,0.03294515154353429,0.44899793309585484
35,OHIO,2000,4705457,2186190.0,2351209.0,50201.0,117857.0,4.1,73460.0,44.0,0.2283602941899345,11363543,0.46460736969862865,0.4996770770618029,0.010668676815025618,0.025046876424542824,0.4140836181110064
36,OKLAHOMA,2000,1234229,474276.0,744337.0,15616.0,0.0,3.0,55450.0,44.0,0.254220967723045,3454365,0.38426904569573395,0.603078521084823,0.012652433219443069,0.0,0.35729547977703574
37,OREGON,2000,1533968,720342.0,713577.0,22692.0,77357.0,5.2,72660.0,45.0,0.28736860321305924,3429708,0.4695938898334255,0.46518375872247664,0.01479300741606083,0.05042934402803709,0.4472590669526385
38,PENNSYLVANIA,2000,4912185,2485967.0,2281127.0,41699.0,103392.0,4.2,72110.0,45.0,0.2143152869105775,12284173,0.5060817131276611,0.4643813292862545,0.008488890381775116,0.021048067204309285,0.3998791778656976
39,RHODE ISLAND,2000,409112,249508.0,130555.0,3997.0,25052.0,4.0,,43.0,0.2687079639870298,1050268,0.6098770018967911,0.31911799213907194,0.009769940749721347,0.061235065214415615,0.3895310530264656
40,SOUTH CAROLINA,2000,1383777,566039.0,786426.0,11033.0,20279.0,3.7,64240.0,42.0,0.273283871731793,4024223,0.40905362641523885,0.5683184501549021,0.007973105493153882,0.01465481793670512,0.3438619082491204
41,SOUTH DAKOTA,2000,316269,118804.0,190700.0,6765.0,0.0,2.5,62370.0,43.0,0.2598057174971633,755844,0.37564225390411327,0.6029677268401266,0.021390019255760128,0.0,0.41843158111991363
42,TENNESSEE,2000,2076181,981720.0,1061949.0,12731.0,19781.0,3.8,58300.0,43.0,0.24843122318808958,5703719,0.4728489471775341,0.5114915318076796,0.0061319316572110046,0.00952758935757528,0.36400478354561294
43,TEXAS,2000,6407637,2433746.0,3799639.0,36258.0,137994.0,4.4,66010.0,42.0,0.30501968543133534,20944499,0.37981958091571044,0.5929859946810345,0.005658560246156266,0.021535864157098787,0.30593412618750154
44,UTAH,2000,770754,203053.0,515096.0,16755.0,35850.0,3.3,81300.0,40.0,0.30629862349292253,2244502,0.26344722181136915,0.6683014295092857,0.021738453514350883,0.04651289516499428,0.34339644161600213
45,VERMONT,2000,294308,149022.0,119775.0,5137.0,20374.0,2.8,67700.0,46.0,0.23857737669436344,609618,0.5063470921619528,0.4069716079753184,0.017454503445370157,0.06922679641735868,0.4827744587594198
46,VIRGINIA,2000,2737915,1216422.0,1436877.0,25243.0,59373.0,2.3,80640.0,42.0,0.32562912221153417,7105817,0.44428771528699756,0.5248070155574589,0.009219789511361747,0.021685479644181795,0.38530615128422246
47,WASHINGTON,2000,2488441,1247652.0,1108864.0,28923.0,103002.0,5.1,72710.0,44.0,0.31021493871422656,5910512,0.5013789758326599,0.44560590345521556,0.011622939824572895,0.041392180887551686,0.4210195326563925
48,WEST VIRGINIA,2000,648124,295497.0,336475.0,5472.0,10680.0,5.6,50290.0,44.0,0.13566211104716255,1807021,0.4559266436669526,0.5191521992705099,0.008442828841394547,0.01647832822114287,0.3586698771071283
49,WISCONSIN,2000,2598607,1242987.0,1237279.0,24271.0,94070.0,3.4,77090.0,44.0,0.2505015557850119,5373999,0.47832819660687437,0.4761316351414431,0.009340004086804968,0.03620016416487757,0.4835518205343916
50,WYOMING,2000,218351,60481.0,147947.0,5298.0,4625.0,3.8,67760.0,43.0,0.300805260130601,494300,0.27698980082527674,0.6775650214562791,0.0242636855338423,0.021181492184601858,0.4417378110459235
51,ALABAMA,2004,1883415,693933.0,1176394.0,13088.0,,5.6,57810.0,44.0,0.23895307622843304,4530729,0.36844402322377173,0.6246068975770077,0.006949079199220565,,0.4156980035663135
52,ALASKA,2004,488693,180365.0,292267.0,16061.0,,7.4,,43.0,0.28902208892857745,659286,0.3690762912503351,0.5980584948014398,0.03286521394822516,,0.7412458326128569
53,ARIZONA,2004,2012585,893524.0,1104294.0,14767.0,,5.0,69200.0,44.0,0.27014516389854104,5652404,0.44396832928795554,0.5486943408601376,0.007337329851906876,,0.3560582364600973
54,ARKANSAS,2004,1053694,468631.0,572770.0,12293.0,,5.6,55210.0,44.0,0.20813301162115397,2749686,0.4447505632565052,0.5435828618175675,0.011666574925927261,,0.3832052096130249
55,CALIFORNIA,2004,12383678,6737355.0,5501496.0,144827.0,,6.2,77690.0,43.0,0.33767590029655015,35574576,0.5440512099878566,0.44425379923476693,0.01169499077737648,,0.3481047251272932
