state,year,total_votes,dem_votes,rep_votes,unemployment_rate,median_income,med_age,bach_per,voter_participation,voting_age_pop,Population 18-24,Population 25-44,Population 45-64,Population 65+,dem_votes_per,rep_votes_per,dem_win
ALABAMA,2000,1672551,695602.0,944409.0,4.7,60570,43.0,0.23956601410310496,60.4,3329900.0,442244,1284371,1022405,580880,0.4158928487083503,0.5646518402129442,False
ALASKA,2000,285530,79004.0,167398.0,6.3,52850,41.0,0.2842218372196503,67.7,437348.0,57670,202899,140673,36106,0.27669246664098346,0.586271144888453,False
ARIZONA,2000,1534113,685341.0,781652.0,4.0,68020,44.0,0.2683697535478562,52.5,3787172.0,519627,1514406,1081807,671332,0.4467343670251148,0.5095139667025832,False
ARKANSAS,2000,921781,422768.0,472940.0,4.2,50780,44.0,0.1924449325237744,50.5,1998210.0,263749,749201,610756,374504,0.4586425626043496,0.5130719769663293,False
CALIFORNIA,2000,10965856,5861203.0,4567429.0,4.9,80050,42.0,0.32881627514481515,57.9,24720888.0,3391356,10724282,6996801,3608449,0.5344957110507379,0.4165136766340904,True
COLORADO,2000,1741365,738227.0,883745.0,2.7,82480,41.0,0.360221325065402,57.2,3220245.0,433665,1404449,963845,418286,0.423935820462683,0.507501299268103,False
CONNECTICUT,2000,1459525,816015.0,561094.0,2.1,85780,45.0,0.30714087172345633,59.5,2569535.0,272527,1031174,795082,470752,0.5590962813244035,0.384436032270773,True
DELAWARE,2000,327529,180068.0,137288.0,3.4,86110,44.0,0.25475473747320115,64.8,591459.0,75953,236255,177082,102169,0.5497772716309091,0.4191628832866708,True
DISTRICT OF COLUMBIA,2000,201894,171923.0,18073.0,5.7,70480,41.0,0.33785944003026863,71.7,457543.0,73084,188950,125745,69764,0.8515508137933767,0.08951727143946824,True
FLORIDA,2000,5960660,2911417.0,2911215.0,3.7,66440,45.0,0.25406422492812275,59.6,12392635.0,1341695,4574160,3664625,2812155,0.4884386963859707,0.48840480752131477,True
GEORGIA,2000,2596804,1116230.0,1419720.0,3.5,71640,41.0,0.2686066064152533,50.9,6050727.0,844819,2656884,1760584,788440,0.42984761268081845,0.5467181966756058,False
HAWAII,2000,367871,205242.0,137819.0,4.2,88130,44.0,0.30260085164260714,44.1,918167.0,116069,361421,279562,161115,0.557918400743739,0.37463947960018595,True
IDAHO,2000,501621,138637.0,336937.0,4.6,64310,43.0,0.259135176423161,56.1,929000.0,139787,362462,280293,146458,0.2763779825804741,0.6716963603995846,False
ILLINOIS,2000,4742123,2589026.0,2019421.0,4.5,78760,42.0,0.28598193979193237,62.0,9189217.0,1216712,3787941,2683910,1500654,0.5459634851310268,0.42584745271263524,True
INDIANA,2000,2199305,901980.0,1245836.0,3.0,69870,43.0,0.19250291091616986,59.6,4516877.0,618678,1787894,1356493,753812,0.4101204698757107,0.5664680433136832,False
IOWA,2000,1315563,638517.0,634373.0,2.7,70090,45.0,0.22296381994453948,67.4,2195730.0,299309,805939,654102,436380,0.4853564595538184,0.48220647737888644,True
KANSAS,2000,1072216,399276.0,622332.0,3.7,70200,43.0,0.275183229385115,61.7,1979794.0,276874,767825,578567,356528,0.3723839226424526,0.580416632469577,False
KENTUCKY,2000,1544187,638898.0,872492.0,4.2,62010,43.0,0.17291285923797595,56.4,3054037.0,404122,1207861,936459,505595,0.4137439312725726,0.5650170607575378,False
LOUISIANA,2000,1765656,792344.0,927871.0,5.1,52520,42.0,0.2323770623872132,65.7,3254215.0,476115,1289109,971272,517719,0.44875332454339917,0.5255106317425365,False
MAINE,2000,651817,319951.0,286616.0,3.3,63720,46.0,0.2369208723299449,70.1,975665.0,104441,369562,317949,183713,0.4908601647394898,0.43971850994987854,True
MARYLAND,2000,2025480,1145782.0,813797.0,3.6,93240,43.0,0.2813309172363713,61.1,3954073.0,454223,1663110,1235297,601443,0.5656841835021822,0.4017798250291289,True
MASSACHUSETTS,2000,2702984,1616487.0,878502.0,2.8,79940,43.0,0.299156720938073,65.3,4859770.0,582419,1986325,1430128,860898,0.5980379462105584,0.3250119127601199,True
MICHIGAN,2000,4232711,2170418.0,1953139.0,3.6,77820,43.0,0.24569261860178113,62.4,7356336.0,936873,2952464,2245700,1221299,0.5127725469563124,0.46143925252633594,True
MINNESOTA,2000,2438685,1168266.0,1109659.0,3.1,92760,43.0,0.31218652464345226,69.8,3643977.0,473390,1496022,1079183,595382,0.479055720603522,0.4550235065209324,True
MISSISSIPPI,2000,994926,404964.0,573230.0,5.3,58640,43.0,0.24033102086533822,60.6,2074000.0,312494,805410,612078,344018,0.4070292664982119,0.5761534023635929,False
MISSOURI,2000,2359892,1111138.0,1189924.0,3.4,77110,44.0,0.24902302955167163,66.7,4178902.0,539169,1623972,1259530,756231,0.47084273348102373,0.5042281595937441,False
MONTANA,2000,410986,137126.0,240178.0,4.8,56040,46.0,0.309052963630421,62.9,673706.0,86160,244578,221680,121288,0.3336512679264014,0.584394602249225,False
NEBRASKA,2000,697019,231780.0,433862.0,2.8,71380,44.0,0.28288545937188625,60.3,1263440.0,175138,486133,369739,232430,0.33253039013283714,0.6224536203460738,False
NEVADA,2000,608970,279978.0,301575.0,4.2,78240,42.0,0.2087594984466466,52.1,1502723.0,182316,632738,466071,221598,0.45975663825804225,0.4952214394797773,False
NEW HAMPSHIRE,2000,569081,266348.0,273559.0,2.7,87070,44.0,0.2827635087245604,66.6,929530.0,103843,380967,296339,148381,0.46803179160787306,0.4807030985044308,False
NEW JERSEY,2000,3187226,1788850.0,1284173.0,3.7,86180,43.0,0.31003649781047427,61.8,6341736.0,679480,2621571,1926315,1114370,0.5612560891508792,0.40291243859079967,True
NEW MEXICO,2000,598605,286783.0,286417.0,5.0,60000,43.0,0.24898552943878724,54.4,1313072.0,178009,514911,406829,213323,0.47908554054844177,0.47847411899332615,True
NEW YORK,2000,6821999,4107697.0,2403374.0,4.5,69660,43.0,0.26147053865379527,59.0,14314406.0,1770901,5823214,4266829,2453462,0.602125124908403,0.35229761833738177,True
NORTH CAROLINA,2000,2911262,1257692.0,1631163.0,3.8,65510,42.0,0.27948291001872194,56.1,6113988.0,814559,2502030,1824912,972487,0.4320092111256218,0.5602941267395377,False
NORTH DAKOTA,2000,288267,95284.0,174852.0,2.9,61550,42.0,0.28967498818481047,70.4,481546.0,73369,174094,139498,94585,0.33054078337097204,0.6065626658618573,False
OHIO,2000,4705457,2186190.0,2351209.0,4.1,73460,44.0,0.2283602941899345,59.2,8476958.0,1062598,3313221,2591732,1509407,0.46460736969862865,0.4996770770618029,False
OKLAHOMA,2000,1234229,474276.0,744337.0,3.0,55450,44.0,0.254220967723045,59.6,2562518.0,358278,972426,775244,456570,0.38426904569573395,0.603078521084823,False
OREGON,2000,1533968,720342.0,713577.0,5.2,72660,45.0,0.28736860321305924,66.6,2582197.0,329918,996147,817150,438982,0.4695938898334255,0.46518375872247664,True
PENNSYLVANIA,2000,4912185,2485967.0,2281127.0,4.2,72110,45.0,0.2143152869105775,57.4,9365323.0,1099628,3495003,2852524,1918168,0.5060817131276611,0.4643813292862545,True
RHODE ISLAND,2000,409112,249508.0,130555.0,4.0,72150,43.0,0.2687079639870298,63.5,802203.0,107167,310069,232537,152430,0.6098770018967911,0.31911799213907194,True
SOUTH CAROLINA,2000,1383777,566039.0,786426.0,3.7,64240,42.0,0.273283871731793,59.5,3013582.0,411181,1184456,930738,487207,0.40905362641523885,0.5683184501549021,False
SOUTH DAKOTA,2000,316269,118804.0,190700.0,2.5,62370,43.0,0.2598057174971633,59.2,553163.0,78009,205892,161066,108196,0.37564225390411327,0.6029677268401266,False
TENNESSEE,2000,2076181,981720.0,1061949.0,3.8,58300,43.0,0.24843122318808958,53.7,4304034.0,552574,1715304,1330776,705380,0.4728489471775341,0.5114915318076796,False
TEXAS,2000,6407637,2433746.0,3799639.0,4.4,66010,42.0,0.30501968543133534,54.1,15038198.0,2213745,6495058,4248352,2081043,0.37981958091571044,0.5929859946810345,False
UTAH,2000,770754,203053.0,515096.0,3.3,81300,40.0,0.30629862349292253,60.2,1522816.0,319748,627787,384055,191226,0.26344722181136915,0.6683014295092857,False
VERMONT,2000,294308,149022.0,119775.0,2.8,67700,46.0,0.23857737669436344,64.2,462069.0,56798,175916,151661,77694,0.5063470921619528,0.4069716079753184,True
VIRGINIA,2000,2737915,1216422.0,1436877.0,2.3,80640,42.0,0.32562912221153417,60.3,5364397.0,685504,2237682,1646015,795196,0.44428771528699756,0.5248070155574589,False
WASHINGTON,2000,2488441,1247652.0,1108864.0,5.1,72710,44.0,0.31021493871422656,62.0,4394151.0,563285,1814246,1352848,663772,0.5013789758326599,0.44560590345521556,True
WEST VIRGINIA,2000,648124,295497.0,336475.0,5.6,50290,44.0,0.13566211104716255,52.4,1405959.0,173008,498535,457356,277060,0.4559266436669526,0.5191521992705099,False
WISCONSIN,2000,2598607,1242987.0,1237279.0,3.4,77090,44.0,0.2505015557850119,70.1,4003559.0,522855,1578869,1198488,703347,0.47832819660687437,0.4761316351414431,True
WYOMING,2000,218351,60481.0,147947.0,3.8,67760,43.0,0.300805260130601,62.9,365526.0,50139,138145,119358,57884,0.27698980082527674,0.6775650214562791,False
ALABAMA,2004,1883415,693933.0,1176394.0,5.6,57810,44.0,0.23895307622843304,63.2,3417067.0,457934,1231571,1133736,593826,0.36844402322377173,0.6246068975770077,False
ALASKA,2004,488693,180365.0,292267.0,7.4,55060,43.0,0.28902208892857745,67.6,472951.0,71882,189864,169057,42148,0.3690762912503351,0.5980584948014398,False
ARIZONA,2004,2012585,893524.0,1104294.0,5.0,69200,44.0,0.27014516389854104,63.8,4167950.0,571196,1580090,1286040,730624,0.44396832928795554,0.5486943408601376,False
ARKANSAS,2004,1053694,468631.0,572770.0,5.6,55210,44.0,0.20813301162115397,58.7,2066520.0,275779,736873,673738,380130,0.4447505632565052,0.5435828618175675,False
CALIFORNIA,2004,12383678,6737355.0,5501496.0,6.2,77690,43.0,0.33767590029655015,61.9,26156079.0,3661991,10675493,8035211,3783384,0.5440512099878566,0.44425379923476693,True
COLORADO,2004,2129630,1001732.0,1101255.0,5.6,80310,43.0,0.343619327524823,67.5,3428644.0,471390,1381778,1125413,450063,0.47037842254288303,0.5171109535459211,False
CONNECTICUT,2004,1578769,857488.0,693826.0,5.0,86960,45.0,0.2910341554472263,63.2,2647115.0,298738,976914,896836,474627,0.543137089719902,0.4394727791082799,True
DELAWARE,2004,375170,200141.0,171651.0,4.0,75830,45.0,0.2666617325981571,66.4,631172.0,82812,232563,206390,109407,0.5334674947357199,0.4575285870405416,True
DISTRICT OF COLUMBIA,2004,227586,202970.0,21256.0,7.5,68580,40.0,0.3448997600037513,69.2,457998.0,72344,186503,132297,66854,0.8918386895503239,0.09339766066454,True
FLORIDA,2004,7609810,3583544.0,3964522.0,4.6,63980,46.0,0.26484764408386685,64.3,13524584.0,1573346,4693728,4325200,2932310,0.4709111002771423,0.5209751623233695,False
GEORGIA,2004,3298790,1366149.0,1914254.0,4.8,64680,42.0,0.28679171081405047,56.8,6460397.0,904353,2674993,2038368,842683,0.4141363954662164,0.5802897426025907,False
HAWAII,2004,428555,231335.0,194116.0,3.3,88770,45.0,0.2978637953378714,50.8,975466.0,128434,351586,324979,170467,0.5398023590904318,0.4529546965967029,True
IDAHO,2004,598376,181098.0,409235.0,4.9,70010,44.0,0.2709837449650095,61.6,1007110.0,152372,368918,326759,159061,0.3026491704212736,0.6839094482399026,False
ILLINOIS,2004,5275415,2891989.0,2346608.0,6.2,72720,44.0,0.28837434524820066,65.6,9378174.0,1253340,3634054,2979461,1511319,0.5482012315618772,0.4448196018701846,True
INDIANA,2004,2468002,969011.0,1479438.0,5.4,66810,45.0,0.21431219693842032,58.6,4646726.0,642292,1720907,1514290,769237,0.39262974665336575,0.5994476503665718,False
IOWA,2004,1506908,741898.0,751957.0,4.5,68480,45.0,0.25186996774937376,71.3,2234927.0,315079,759650,724776,435422,0.4923313168421695,0.4990065750530225,False
KANSAS,2004,1187756,434993.0,736456.0,5.5,64810,45.0,0.2945341770953565,64.2,2028917.0,296216,724588,652367,355746,0.3662309430556444,0.620039806155473,False
KENTUCKY,2004,1795860,712733.0,1069439.0,5.5,56200,44.0,0.19252408665493276,65.0,3147642.0,417231,1167552,1044090,518769,0.3968755916385464,0.5955024333745392,False
LOUISIANA,2004,1943106,820299.0,1102169.0,5.7,57500,44.0,0.2460370990759327,64.2,3369507.0,506373,1241246,1092639,529249,0.4221586470321228,0.5672202134108999,False
MAINE,2004,686510,364153.0,308997.0,4.7,65230,46.0,0.2582383658773563,73.1,1018897.0,115063,349636,364393,189805,0.5304409258423038,0.4500983234038834,True
MARYLAND,2004,2386678,1334493.0,1024703.0,4.3,90120,44.0,0.29639253726366044,65.6,4163485.0,508100,1620262,1404618,630505,0.5591424565861,0.4293427936236057,True
MASSACHUSETTS,2004,2912388,1803800.0,1071109.0,5.1,82100,44.0,0.3117554085122672,68.6,4932740.0,617664,1867029,1597141,850906,0.619354289332328,0.36777688961772953,True
MICHIGAN,2004,4839252,2479183.0,2313746.0,7.0,66690,45.0,0.24452725283026275,67.1,7502001.0,987400,2754780,2512778,1247043,0.5123070672905647,0.4781205855781017,True
MINNESOTA,2004,2827850,1444751.0,1346451.0,4.6,88550,44.0,0.32113223883142356,79.2,3805767.0,513913,1438206,1239429,614219,0.5109008610782043,0.4761394699153067,True
MISSISSIPPI,2004,1114859,440034.0,666295.0,6.2,54850,44.0,0.22476945037948606,61.7,2128600.0,318565,775580,683135,351320,0.39469923999357764,0.5976495682413651,False
MISSOURI,2004,2731364,1259171.0,1455713.0,5.9,66500,45.0,0.24571852299050456,68.5,4326785.0,583646,1560550,1415041,767548,0.46100446516831883,0.5329619193926551,False
MONTANA,2004,450434,173710.0,266063.0,4.5,53590,47.0,0.3056161051249442,70.2,708010.0,97456,229675,253603,127276,0.3856502839483698,0.5906814316858852,False
NEBRASKA,2004,778186,254328.0,512814.0,3.9,69110,45.0,0.2793094062844652,65.3,1301010.0,188301,464418,416161,232130,0.3268216082016382,0.6589864119889075,False
NEVADA,2004,829587,397190.0,418690.0,4.4,74500,44.0,0.21004840743323794,58.9,1754908.0,211757,701910,577519,263722,0.4787804051895702,0.504696915453111,False
NEW HAMPSHIRE,2004,677662,340511.0,331237.0,3.8,89670,45.0,0.3000092697178916,71.5,980878.0,117460,361463,346086,155869,0.5024791120056902,0.4887938234695173,True
NEW JERSEY,2004,3609691,1911430.0,1668003.0,4.9,87240,45.0,0.31232436613624875,66.0,6505510.0,715500,2520242,2150468,1119300,0.5295273196514605,0.46209024539773624,True
NEW MEXICO,2004,756304,370942.0,376930.0,5.6,62440,45.0,0.24537453254259056,64.4,1402624.0,201894,502867,467467,230396,0.490466796420487,0.498384247604138,False
NEW YORK,2004,7391036,4180755.0,2806993.0,5.8,70470,44.0,0.2669059295010706,60.2,14597502.0,1847979,5583555,4677744,2488224,0.5656520953219548,0.37978342954898336,True
NORTH CAROLINA,2004,3501007,1525849.0,1961166.0,5.5,63510,44.0,0.2805806365370827,61.4,6467987.0,841493,2489901,2100051,1036542,0.435831462205017,0.5601719733779452,False
NORTH DAKOTA,2004,312833,111052.0,196651.0,3.4,61900,45.0,0.28470968727118956,71.5,495577.0,85049,159374,156845,94309,0.3549881246543683,0.6286133496146507,False
OHIO,2004,5625631,2739952.0,2858727.0,6.2,67950,45.0,0.22834179709421706,66.1,8616183.0,1099582,3115878,2878431,1522292,0.48704794182199296,0.5081611289471349,False
OKLAHOMA,2004,1463758,503966.0,959792.0,4.7,62520,45.0,0.2599685912693544,62.3,2643627.0,386493,936143,857898,463093,0.3442959833524394,0.6557040166475606,False
OREGON,2004,1836782,943163.0,866831.0,7.4,64700,45.0,0.2988232979537677,74.0,2722677.0,348770,981831,930622,461454,0.5134866304221187,0.47192916742433233,True
PENNSYLVANIA,2004,5765764,2938095.0,2793847.0,5.4,69610,46.0,0.2276436746596594,64.5,9537597.0,1173247,3294544,3179667,1890139,0.5095760076201523,0.48455798745838363,True
RHODE ISLAND,2004,436289,259760.0,169046.0,5.3,75650,45.0,0.26797174281107833,63.7,828351.0,115173,299215,264260,149703,0.5953851690049485,0.3874633557114665,True
SOUTH CAROLINA,2004,1617730,661699.0,937974.0,6.9,61070,44.0,0.2737524196807033,63.2,3181810.0,435193,1168196,1058888,519533,0.4090293188603784,0.5798087443516532,False
SOUTH DAKOTA,2004,388215,149244.0,232584.0,3.6,64880,45.0,0.2695364130876025,68.3,573592.0,84773,195250,184815,108754,0.38443645917854796,0.5991113171824891,False
TENNESSEE,2004,2430494,1032910.0,1381225.0,5.3,60090,44.0,0.24404852905606078,54.6,4477466.0,575572,1675964,1489245,736685,0.42497944862237885,0.5682898209170646,False
TEXAS,2004,7410749,2832704.0,4526917.0,6.0,65340,42.0,0.31243511506031935,57.1,16185764.0,2420595,6589095,4966889,2209185,0.3822426046274135,0.6108582276906154,False
UTAH,2004,927844,241199.0,663742.0,5.0,80290,40.0,0.32020519381157536,67.8,1649809.0,328927,663806,451220,205856,0.25995641508701894,0.7153594785330293,False
VERMONT,2004,312309,184067.0,121180.0,3.6,74700,46.0,0.2777877269394389,67.3,478852.0,63919,161932,172742,80259,0.5893746257712714,0.38801315363950445,True
VIRGINIA,2004,3198367,1454742.0,1716959.0,3.7,80710,44.0,0.3064638096598418,63.1,5673617.0,753770,2192025,1884311,843511,0.4548389850195428,0.5368236353113949,False
WASHINGTON,2004,2859084,1510201.0,1304894.0,6.3,78790,44.0,0.32651657213304075,67.6,4657894.0,617717,1771863,1569307,699007,0.5282114831183694,0.45640281992414355,True
WEST VIRGINIA,2004,755659,326541.0,423550.0,5.4,52670,46.0,0.16781188536199063,57.2,1424582.0,173667,472377,498597,279941,0.4321274543147107,0.5605041427416335,False
WISCONSIN,2004,2997007,1489504.0,1478120.0,5.0,72180,45.0,0.25408069849305165,76.6,4159383.0,563471,1510765,1366856,718291,0.49699717084411216,0.49319871458425024,True
WYOMING,2004,243428,70776.0,167629.0,3.8,71650,46.0,0.27031255297610685,66.9,385132.0,56968,129628,137360,61176,0.2907471613783131,0.6886184005126773,False
ALABAMA,2008,2099819,813479.0,1266546.0,5.9,62350,46.0,0.23390689220808591,62.4,3583279.0,470431,1231410,1244494,636944,0.38740434294574916,0.603169130291706,False
ALASKA,2008,326197,123594.0,193841.0,6.5,63990,44.0,0.27007734407150574,65.0,504331.0,75206,189673,189130,50322,0.37889373599389325,0.5942451953880631,False
ARIZONA,2008,2293475,1034707.0,1230111.0,5.8,65770,45.0,0.28065459589350517,59.9,4651711.0,621451,1690369,1507727,832164,0.4511525087476428,0.5363524782262724,False
ARKANSAS,2008,1086617,422310.0,638017.0,5.4,55500,46.0,0.21349388344447456,53.8,2168829.0,278835,745354,737074,407566,0.3886465976512423,0.5871590449992959,False
CALIFORNIA,2008,13561900,8274473.0,5011781.0,7.3,79930,43.0,0.3295019811629596,63.4,27282716.0,3812579,10505976,8907401,4056760,0.6101263834713425,0.36954858832464477,True
COLORADO,2008,2401361,1288576.0,1073589.0,4.8,85440,44.0,0.35075681032137723,68.4,3686441.0,481504,1404254,1286548,514135,0.5366023684069159,0.4470752210933716,True
CONNECTICUT,2008,1647085,1000291.0,628041.0,5.6,90680,46.0,0.2907895275894561,67.2,2718953.0,320268,923555,982536,492594,0.6073098838250607,0.3813045471241618,True
DELAWARE,2008,412412,255459.0,152374.0,4.8,71080,46.0,0.24734794623453973,67.3,677758.0,88587,230357,235098,123716,0.6194266898150393,0.36947033548975294,True
DISTRICT OF COLUMBIA,2008,265853,245800.0,17367.0,6.5,77930,40.0,0.3234211711361978,74.1,477979.0,81763,192899,136532,66785,0.9245710975614343,0.06532557465968035,True
